,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
371,01/02/21,1175,10200.0,10200.0,10200.0,10200.0,4
372,01/02/21,1176,10200.0,10200.0,10200.0,10200.0,6
373,01/02/21,1177,10200.0,10202.0,10200.0,10200.0,92
374,01/02/21,1179,10200.0,10200.0,10200.0,10200.0,21
375,01/02/21,1182,10218.0,10219.0,10218.0,10219.0,17
376,01/02/21,1183,10219.0,10219.0,10219.0,10219.0,54
377,01/02/21,1184,10219.0,10230.0,10219.0,10230.0,18
378,01/02/21,1185,10230.0,10230.0,10218.0,10218.0,7
379,01/02/21,1187,10217.0,10217.0,10217.0,10217.0,3
380,01/02/21,1188,10217.0,10217.0,10217.0,10217.0,1
381,01/02/21,1190,10218.0,10218.0,10218.0,10218.0,4
382,01/02/21,1192,10224.0,10224.0,10222.0,10224.0,4
383,01/02/21,1193,10225.0,10226.0,10225.0,10225.0,14
384,01/02/21,1194,10225.0,10232.0,10225.0,10232.0,7
385,01/02/21,1195,10225.0,10231.0,10224.0,10231.0,4
386,01/02/21,1196,10231.0,10231.0,10217.0,10217.0,26
387,01/02/21,1198,10200.0,10200.0,10200.0,10200.0,76
388,01/02/21,1199,10200.0,10200.0,10200.0,10200.0,1
389,01/02/21,1200,10205.0,10205.0,10205.0,10205.0,20
390,01/02/21,1201,10205.0,10205.0,10205.0,10205.0,1
391,01/02/21,1202,10217.0,10217.0,10208.0,10208.0,6
392,01/02/21,1203,10211.0,10211.0,10211.0,10211.0,4
393,01/02/21,1205,10215.0,10215.0,10211.0,10211.0,2
394,01/02/21,1208,10234.0,10234.0,10234.0,10234.0,118
395,01/02/21,1209,10240.0,10240.0,10240.0,10240.0,3
396,01/02/21,1210,10245.0,10250.0,10242.0,10250.0,40
397,01/02/21,1211,10250.0,10250.0,10250.0,10250.0,35
398,01/02/21,1212,10241.0,10253.0,10241.0,10253.0,12
399,01/02/21,1213,10255.0,10257.0,10255.0,10257.0,11
400,01/02/21,1214,10260.0,10260.0,10260.0,10260.0,1
401,01/02/21,1215,10260.0,10260.0,10260.0,10260.0,13
402,01/02/21,1217,10260.0,10260.0,10260.0,10260.0,90
403,01/02/21,1220,10256.0,10256.0,10256.0,10256.0,1
404,01/02/21,1221,10256.0,10256.0,10256.0,10256.0,1
405,01/02/21,1222,10256.0,10256.0,10254.0,10254.0,7
406,01/02/21,1224,10260.0,10270.0,10260.0,10270.0,2
407,01/02/21,1225,10267.0,10267.0,10267.0,10267.0,10
408,01/02/21,1226,10269.0,10269.0,10269.0,10269.0,20
409,01/02/21,1227,10253.0,10253.0,10249.0,10249.0,112
410,01/02/21,1229,10251.0,10251.0,10251.0,10251.0,1
411,01/02/21,1230,10255.0,10264.0,10255.0,10264.0,11
412,01/02/21,1231,10265.0,10265.0,10265.0,10265.0,3
